,cylinders,displayments,horsepower,weight,acceleration,model year,cluster,mpg,origin_1,origin_2,origin_3,origin,car name
318,4,134.0,90.0,2711,15.5,80,0,29.8,0,0,1,3,toyota corona liftback
319,4,120.0,75.0,2542,17.5,80,0,31.3,0,0,1,3,mazda 626
320,4,119.0,92.0,2434,15.0,80,0,37.0,0,0,1,3,datsun 510 hatchback
321,4,108.0,75.0,2265,15.2,80,0,32.2,0,0,1,3,toyota corolla
322,4,86.0,65.0,2110,17.9,80,0,46.6,0,0,1,3,mazda glc
323,4,156.0,105.0,2800,14.4,80,0,27.9,1,0,0,1,dodge colt
324,4,85.0,65.0,2110,19.2,80,0,40.8,0,0,1,3,datsun 210
325,4,90.0,48.0,2085,21.7,80,0,44.3,0,1,0,2,vw rabbit c (diesel)
326,4,90.0,48.0,2335,23.7,80,0,43.4,0,1,0,2,vw dasher (diesel)
327,6,121.0,67.0,2950,19.9,80,0,36.4,0,1,0,2,audi 5000s (diesel)
328,4,146.0,67.0,3250,21.8,80,0,30.0,0,1,0,2,mercedes-benz 240d
329,4,91.0,67.0,1850,13.8,80,0,44.6,0,0,1,3,honda civic 1500 gl
330,4,85.0,55.88205030886286,1835,17.3,80,0,40.9,0,1,0,2,renault lecar deluxe
331,4,97.0,67.0,2145,18.0,80,0,33.8,0,0,1,3,subaru dl
332,4,89.0,62.0,1845,15.3,80,0,29.8,0,1,0,2,vokswagen rabbit
333,6,168.0,132.0,2910,11.4,80,0,32.7,0,0,1,3,datsun 280-zx
334,4,70.0,100.0,2420,12.5,80,0,23.7,0,0,1,3,mazda rx-7 gs
335,4,122.0,88.0,2500,15.1,80,0,35.0,0,1,0,2,triumph tr7 coupe
336,4,140.0,101.2049391628226,2905,14.3,80,0,23.6,1,0,0,1,ford mustang cobra
337,4,107.0,72.0,2290,17.0,80,0,32.4,0,0,1,3,honda accord
338,4,135.0,84.0,2490,15.7,81,0,27.2,1,0,0,1,plymouth reliant
339,4,151.0,84.0,2635,16.4,81,0,26.6,1,0,0,1,buick skylark
340,4,156.0,92.0,2620,14.4,81,0,25.8,1,0,0,1,dodge aries wagon (sw)
341,6,173.0,110.0,2725,12.6,81,1,23.5,1,0,0,1,chevrolet citation
342,4,135.0,84.0,2385,12.9,81,0,30.0,1,0,0,1,plymouth reliant
343,4,79.0,58.0,1755,16.9,81,0,39.1,0,0,1,3,toyota starlet
344,4,86.0,64.0,1875,16.4,81,0,39.0,1,0,0,1,plymouth champ
345,4,81.0,60.0,1760,16.1,81,0,35.1,0,0,1,3,honda civic 1300
346,4,97.0,67.0,2065,17.8,81,0,32.3,0,0,1,3,subaru
347,4,85.0,65.0,1975,19.4,81,0,37.0,0,0,1,3,datsun 210 mpg
348,4,89.0,62.0,2050,17.3,81,0,37.7,0,0,1,3,toyota tercel
349,4,91.0,68.0,1985,16.0,81,0,34.1,0,0,1,3,mazda glc 4
350,4,105.0,63.0,2215,14.9,81,0,34.7,1,0,0,1,plymouth horizon 4
351,4,98.0,65.0,2045,16.2,81,0,34.4,1,0,0,1,ford escort 4w
352,4,98.0,65.0,2380,20.7,81,0,29.9,1,0,0,1,ford escort 2h
353,4,105.0,74.0,2190,14.2,81,0,33.0,0,1,0,2,volkswagen jetta
354,4,100.0,74.70350393047386,2320,15.8,81,0,34.5,0,1,0,2,renault 18i
355,4,107.0,75.0,2210,14.4,81,0,33.7,0,0,1,3,honda prelude
356,4,108.0,75.0,2350,16.8,81,0,32.4,0,0,1,3,toyota corolla
357,4,119.0,100.0,2615,14.8,81,0,32.9,0,0,1,3,datsun 200sx
358,4,120.0,74.0,2635,18.3,81,0,31.6,0,0,1,3,mazda 626
359,4,141.0,80.0,3230,20.4,81,0,28.1,0,1,0,2,peugeot 505s turbo diesel
360,6,145.0,76.0,3160,19.6,81,0,30.7,0,1,0,2,volvo diesel
361,6,168.0,116.0,2900,12.6,81,0,25.4,0,0,1,3,toyota cressida
362,6,146.0,120.0,2930,13.8,81,0,24.2,0,0,1,3,datsun 810 maxima
363,6,231.0,110.0,3415,15.8,81,1,22.4,1,0,0,1,buick century
364,8,350.0,105.0,3725,19.0,81,1,26.6,1,0,0,1,oldsmobile cutlass ls
365,6,200.0,88.0,3060,17.1,81,1,20.2,1,0,0,1,ford granada gl
366,6,225.0,85.0,3465,16.6,81,1,17.6,1,0,0,1,chrysler lebaron salon
367,4,112.0,88.0,2605,19.6,82,0,28.0,1,0,0,1,chevrolet cavalier
368,4,112.0,88.0,2640,18.6,82,0,27.0,1,0,0,1,chevrolet cavalier wagon
369,4,112.0,88.0,2395,18.0,82,0,34.0,1,0,0,1,chevrolet cavalier 2-door
370,4,112.0,85.0,2575,16.2,82,0,31.0,1,0,0,1,pontiac j2000 se hatchback
371,4,135.0,84.0,2525,16.0,82,0,29.0,1,0,0,1,dodge aries se
372,4,151.0,90.0,2735,18.0,82,0,27.0,1,0,0,1,pontiac phoenix
373,4,140.0,92.0,2865,16.4,82,0,24.0,1,0,0,1,ford fairmont futura
374,4,151.0,83.33046319754624,3035,20.5,82,0,23.0,1,0,0,1,amc concord dl
375,4,105.0,74.0,1980,15.3,82,0,36.0,0,1,0,2,volkswagen rabbit l
376,4,91.0,68.0,2025,18.2,82,0,37.0,0,0,1,3,mazda glc custom l
377,4,91.0,68.0,1970,17.6,82,0,31.0,0,0,1,3,mazda glc custom
378,4,105.0,63.0,2125,14.7,82,0,38.0,1,0,0,1,plymouth horizon miser
379,4,98.0,70.0,2125,17.3,82,0,36.0,1,0,0,1,mercury lynx l
380,4,120.0,88.0,2160,14.5,82,0,36.0,0,0,1,3,nissan stanza xe
381,4,107.0,75.0,2205,14.5,82,0,36.0,0,0,1,3,honda accord
382,4,108.0,70.0,2245,16.9,82,0,34.0,0,0,1,3,toyota corolla
383,4,91.0,67.0,1965,15.0,82,0,38.0,0,0,1,3,honda civic
384,4,91.0,67.0,1965,15.7,82,0,32.0,0,0,1,3,honda civic (auto)
385,4,91.0,67.0,1995,16.2,82,0,38.0,0,0,1,3,datsun 310 gx
386,6,181.0,110.0,2945,16.4,82,1,25.0,1,0,0,1,buick century limited
387,6,262.0,85.0,3015,17.0,82,1,38.0,1,0,0,1,oldsmobile cutlass ciera (diesel)
388,4,156.0,92.0,2585,14.5,82,0,26.0,1,0,0,1,chrysler lebaron medallion
389,6,232.0,112.0,2835,14.7,82,1,22.0,1,0,0,1,ford granada l
390,4,144.0,96.0,2665,13.9,82,0,32.0,0,0,1,3,toyota celica gt
391,4,135.0,84.0,2370,13.0,82,0,36.0,1,0,0,1,dodge charger 2.2
392,4,151.0,90.0,2950,17.3,82,0,27.0,1,0,0,1,chevrolet camaro
393,4,140.0,86.0,2790,15.6,82,0,27.0,1,0,0,1,ford mustang gl
394,4,97.0,52.0,2130,24.6,82,0,44.0,0,1,0,2,vw pickup
395,4,135.0,84.0,2295,11.6,82,0,32.0,1,0,0,1,dodge rampage
396,4,120.0,79.0,2625,18.6,82,0,28.0,1,0,0,1,ford ranger
397,4,119.0,82.0,2720,19.4,82,0,31.0,1,0,0,1,chevy s-10
